link,titre,adresse,code_postal,prix_vente,f0_,prix_location,rendement_brut
https://www.leboncoin.fr/ad/ventes_immobilieres/2806690060,Situation idéale pour ce T3 dans le centre historique d'Annecy,Annecy 74000,74000,320000,50.0,989.0,0.0370875
https://www.leboncoin.fr/ad/ventes_immobilieres/2477691990,Appartement 2 pièces 51 m²,Annecy 74000,74000,244000,51.0,989.0,0.048639344262295083
https://www.leboncoin.fr/ad/ventes_immobilieres/2533715472,Appartement 2 pièces 43 m²,Annecy 74000,74000,275000,43.0,860.0,0.037527272727272729
https://www.leboncoin.fr/ad/ventes_immobilieres/2743123477,Appartement 4 pièces 98 m²,Annecy 74000,74000,432000,98.0,1573.0,0.043694444444444445
https://www.leboncoin.fr/ad/ventes_immobilieres/2755185692,Annecy appartement T3 contemporain au coeur du centre ville,Annecy 74000,74000,355000,70.0,1249.0,0.042219718309859156
https://www.leboncoin.fr/ad/ventes_immobilieres/2807673594,T 2 Annecy Rez de jardin,Annecy 74000,74000,280000,40.0,860.0,0.036857142857142859
https://www.leboncoin.fr/ad/ventes_immobilieres/2422983416,Appartement 3 pièces 77 m²,Annecy 74000,74000,415000,77.0,1314.0,0.037995180722891569
https://www.leboncoin.fr/ad/ventes_immobilieres/2487490160,Appartement 4 pièces 95 m²,Annecy 74000,74000,370000,95.0,1573.0,0.051016216216216215
https://www.leboncoin.fr/ad/ventes_immobilieres/2742466478,Appartement 3 pièces 75 m²,Annecy 74000,74000,500000,75.0,1314.0,0.031536
https://www.leboncoin.fr/ad/ventes_immobilieres/2803648103,Appartement 2 pièces 45 m²,Annecy 74000,74000,204900,45.0,924.0,0.054114202049780381
https://www.leboncoin.fr/ad/ventes_immobilieres/2744985607,Appartement - 2 pièces - Vertuose - Nue Propri...,Annecy 74000,74000,200850,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2760971790,Appartement 2 pièces 65 m²,Annecy 74000,74000,270000,65.0,1184.0,0.052622222222222223
https://www.leboncoin.fr/ad/ventes_immobilieres/2779805448,Appartement 1 pièce 35 m²,Annecy 74000,74000,248000,35.0,795.0,0.038467741935483871
https://www.leboncoin.fr/ad/ventes_immobilieres/2684915072,Appartement 2 pièces 42 m²,Annecy 74000,74000,223200,42.0,860.0,0.046236559139784944
https://www.leboncoin.fr/ad/ventes_immobilieres/2413242016,Appartement 4 pièces 83 m²,Annecy 74000,74000,349500,83.0,1379.0,0.04734763948497854
https://www.leboncoin.fr/ad/ventes_immobilieres/2605993554,Appartement 2 pièces 35 m²,Annecy 74000,74000,179000,35.0,795.0,0.053296089385474858
https://www.leboncoin.fr/ad/ventes_immobilieres/2402757633,Studio 1 pièce 35 m²,Annecy 74000,74000,259000,35.0,795.0,0.036833976833976836
https://www.leboncoin.fr/ad/ventes_immobilieres/2679211463,Studio 1 pièce 16 m²,Annecy 74000,74000,170000,16.0,535.0,0.037764705882352943
https://www.leboncoin.fr/ad/ventes_immobilieres/2794662096,Appartement 2 pièces 42 m²,Annecy 74000,74000,275000,42.0,860.0,0.037527272727272729
https://www.leboncoin.fr/ad/ventes_immobilieres/2808626434,"Vends Appartement de particulier à particulier, T4 proche du Triangle d’or d’Annecy au 7ieme étage avec une très belle vue panoramique",Annecy 74000,74000,360000,71.0,1249.0,0.041633333333333335
